d16-all,d50-all,d84-all,avgDepth [m],avgTemp [C],avgSpC [uS/cm]
72.2711978,117.7207155,192.371861,3.113672027,27.68409577,394.7623131
75.21273729,131.0047567,219.5861157,6.696223381,27.67089183,395.2384189
59.03698572,95.85995719,154.9109508,9.528624349,27.67145945,395.5729704
71.76553291,120.1989024,210.8200264,11.75163923,27.66584814,395.7110354
69.33367916,115.0327811,178.1753672,13.91543177,27.66510233,395.8553022
70.33283662,114.8948979,199.6817575,16.28677679,27.67092903,395.9966636
65.09239271,100.6828107,158.0329005,17.18938572,27.66506421,396.0278122
64.73175076,107.7296914,167.4279724,17.37548712,27.66327742,396.0569746
72.90382879,121.6872462,280.1665724,17.59699217,27.66290063,396.103317
77.44969239,130.7698248,218.7693871,17.67088927,27.66327641,396.1581224
72.70459474,123.4586604,218.8262189,16.37235959,27.66652136,396.1836353
81.91700262,137.781436,233.632171,15.25307276,27.66381784,396.1939412
82.51887326,138.1825405,244.3156553,14.34363924,27.66375462,396.2143909
89.39035972,151.327089,271.2020745,12.64876885,27.66945229,396.1666745
87.33403372,153.3473188,248.3891422,12.33240566,27.6675348,396.2136297
77.73567604,136.7675147,242.0483902,10.8648236,27.67036752,396.2540096
71.78267302,115.9710571,193.7834512,9.225571955,27.66259242,396.1621274
83.04200541,134.0457263,240.4635033,9.267731573,27.66493287,396.1798342
70.50759175,127.0981213,244.0292308,9.345965453,27.66612267,396.2375941
89.99910197,181.0838259,318.7825814,7.918431147,27.66025751,396.1746897
82.44075105,139.9893947,260.7998648,6.2594854,27.66945699,396.2454458
87.5984987,153.2937245,249.8766842,4.771466314,27.66296212,396.1640969
82.12166072,151.3693867,299.6415378,3.407943806,27.67860095,396.1491507
79.31872858,136.5228856,234.2920949,3.262412681,27.68545889,396.1979135
72.27948023,122.1574196,206.0682254,1.716645413,27.68903425,396.0601976
56.53114543,97.25518404,154.9715968,0.379188395,27.68590518,395.9641593